22:24:19 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
22:24:19 | werkzeug           | WARNING |  * Debugger is active!
22:24:19 | werkzeug           | INFO  |  * Debugger PIN: 124-926-052
22:24:34 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:24:34] "[36mGET / HTTP/1.1[0m" 304 -
22:24:34 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:24:34] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
22:24:35 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:24:35] "[36mGET /static/script.js?v=2.0 HTTP/1.1[0m" 304 -
22:25:36 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:25:36] "GET /bookings HTTP/1.1" 200 -
22:25:37 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:25:37] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
22:25:37 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:25:37] "GET /api/bookings HTTP/1.1" 200 -
22:25:51 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:25:51] "GET /ws/stt HTTP/1.1" 200 -
22:26:26 | werkzeug           | INFO  |  * Detected change in 'C:\\Users\\kondr\\Desktop\\AURALAVDA1\\app.py', reloading
22:26:29 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
22:26:29 | werkzeug           | WARNING |  * Debugger is active!
22:26:29 | werkzeug           | INFO  |  * Debugger PIN: 124-926-052
22:26:47 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:26:47] "[36mGET / HTTP/1.1[0m" 304 -
22:26:48 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:26:48] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
22:26:48 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:26:48] "GET /static/script.js?v=2.0 HTTP/1.1" 200 -
22:27:00 | aura.app           | INFO  | New WebSocket connection for STT
22:27:19 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:27:19] "[35m[1mGET /ws/stt HTTP/1.1[0m" 500 -
22:29:19 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
22:29:19 | werkzeug           | INFO  | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.250.16.140:5000
22:29:19 | werkzeug           | INFO  | [33mPress CTRL+C to quit[0m
22:29:19 | werkzeug           | INFO  |  * Restarting with stat
22:29:20 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
